Simulation 53001064 contains 20 tasks using 2 CPUs
Task id 53001064-1 runtime 1 completion 42892 s
Task id 53001064-2 runtime 2 completion 44567 s 
Task id 53001064-3 runtime 3 completion 51432 s 
Task id 53001064-4 runtime 4 completion 60089 s
Task id 53001064-5 runtime 5 completion 63232 s
Task id 53001064-6 runtime 6 completion 64550 s
Task id 53001064-7 runtime 7 completion 65767 s
Task id 53001064-8 runtime 8 completion 67842 s
Task id 53001064-9 runtime 9 completion 84401 s
Task id 53001064-10 runtime 10 completion 86734 s
Task id 53001064-11 runtime 11 completion 87947 s
Task id 53001064-12 runtime 12 completion 88905 s
Task id 53001064-13 runtime 13 completion 89452 s
Task id 53001064-14 runtime 14 completion 91112 s
Task id 53001064-15 runtime 15 completion 99053 s
Task id 53001064-16 runtime 16 completion 104587 s
Task id 53001064-17 runtime 17 completion 119002 s
Task id 53001064-18 runtime 18 completion 121547 s
Task id 53001064-19 runtime 19 completion 125467 s
Task id 53001064-20 runtime 20 completion 131580 s 

